Rank,Name,Symbol,MarketCap,Price,VolumeUSD
1,Bitcoin,BTC,932695365142,49368.85,37198201161
2,Ethereum,ETH,498007875686,4198.32,25533062707
3,Binance Coin,BNB,93038857104,557.78,2394235567
4,Tether,USDT,75159692181,1,82054153191
5,Solana,SOL,59983315118,196.17,3402591975
6,Cardano,ADA,45909141522,1.38,3034823821
7,USD Coin,USDC,40884696966,0.9987,5815739519
8,XRP,XRP,38062181529,0.8056,3553480780
8,XRP,XRP,38062181529,0.8056,3553480780
9,Polkadot,DOT,27958507598,28.31,1471059303
10,Terra,LUNA,26270930242,68.11,4569096546
11,Dogecoin,DOGE,22674128031,0.1713,1645331135
12,Avalanche,AVAX,20824940381,85.79,1220952521
12,Avalanche,AVAX,20824940381,85.79,1220952521
12,Avalanche,AVAX,20824940381,85.79,1220952521
13,SHIBA INU,SHIB,19887113761,0.00003622,2307804650
14,Crypto.com Coin,CRO,14246995017,0.5639,297446118.8
15,Polygon,MATIC,14363566604,2.05,3609200610
16,Binance USD,BUSD,13588403503,0.9993,6369279810
17,Wrapped Bitcoin,WBTC,12585100920,49009.36,354104974
18,Algorand,ALGO,11062026272,1.76,722379678.5
19,Litecoin,LTC,10811735664,156.41,1952282406
20,Uniswap,UNI,10378935853,16.53,304823077.6
21,Chainlink,LINK,9096095660,19.48,1199283300
22,Bitcoin Cash,BCH,8579712750,453.49,1128258510
23,TRON,TRX,8593053135,0.08433,1832487822
24,TerraUSD,UST,8141621671,1,246092858.5
25,Stellar,XLM,6914567553,0.2805,1051929731
26,Decentraland,MANA,6754846154,3.7,1737989978
27,Dai,DAI,6468791929,0.999,868790845
28,Axie Infinity,AXS,6539453525,107.37,475761319.5
29,FTX Token,FTT,6118740844,43.87,251387547.2
30,VeChain,VET,5771040704,0.08973,464929338.7
31,Elrond,EGLD,5717699972,288.3,261774679.2
32,Internet Computer,ICP,5566238312,30.32,245326741.9
33,Cosmos,ATOM,5558535259,24.63,941384993.8
34,Bitcoin BEP2,BTCB,5196748370,49438.79,93732904.76
35,Filecoin,FIL,5160993269,39.08,773811127.7
36,Ethereum Classic,ETC,5105021442,38.84,962518923.9
37,Hedera,HBAR,4985331051,0.2755,83691534.37
38,The Sandbox,SAND,4958726004,5.43,1996358755
39,THETA,THETA,4729731861,4.73,299261781.8
40,NEAR Protocol,NEAR,4186982256,7.34,203524156.8
41,Fantom,FTM,3904763337,1.53,476031829
42,Monero,XMR,3631160666,201.27,172166313.3
43,UNUS SED LEO,LEO,3434639502,3.6,3271975.74
44,Gala,GALA,3402289266,0.4876,1411764533
45,Tezos,XTZ,3366951568,3.87,188930996.1
46,Helium,HNT,3255245647,31.45,45917750.75
47,Klaytn,KLAY,3221913091,1.26,57208069.88
48,The Graph,GRT,3241953325,0.6875,132290751.9
49,IOTA,MIOTA,3195923168,1.15,69039563.69
50,EOS,EOS,2953417730,3.04,1084834979
51,Flow,FLOW,2912072081,9.26,115081646.8
52,PancakeSwap,CAKE,2751265100,11.13,234778537.5
53,Stacks,STX,2698280466,2.1,136170979
54,Loopring,LRC,2703417930,2.04,377727448.2
55,Aave,AAVE,2572684839,191.75,270580587.6
56,Maker,MKR,2551066380,2579.48,141836608.9
57,Kusama,KSM,2504549472,295.69,109398074
58,BitTorrent,BTT,2441231922,0.002466,721941985.4
59,Zcash,ZEC,2415913565,182.5,875282952.2
60,eCash,XEC,2284954325,0.0001208,115297794.6
61,Bitcoin SV,BSV,2292389189,121.19,369127307.7
62,Enjin Coin,ENJ,2286914155,2.73,452039200
63,Amp,AMP,2136072335,0.05058,35570933.03
64,Quant,QNT,2089884520,173.11,62750521.15
65,Harmony,ONE,2082195000,0.1818,103396228.3
66,Waves,WAVES,2055766056,19.23,159124953.8
67,THORChain,RUNE,2023752866,7.84,76324527.79
68,Neo,NEO,1994108481,28.27,270893074.9
69,Kadena,KDA,1972091841,12.25,50756723.34
70,Chiliz,CHZ,1890846216,0.3176,398960284.1
71,KuCoin Token,KCS,1778499522,22.2,29206784.93
72,Basic Attention Token,BAT,1743928881,1.17,756264331.1
73,Holo,HOT,1606035569,0.009281,182914518.8
74,Curve DAO Token,CRV,1566833650,3.6,430085207.1
75,Arweave,AR,1497844104,44.85,51162324.95
76,OKB,OKB,1451366765,24.19,595439810.9
77,Huobi Token,HT,1390666699,8.73,150171498.2
78,Dash,DASH,1409833053,134.71,355048619.9
79,Celo,CELO,1371109792,3.73,52678091.5
80,Theta Fuel,TFUEL,1375518731,0.2595,67511479.07
81,Compound,COMP,1311341342,211.46,122311023
82,Decred,DCR,1302928905,96.09,13109636.93
83,Nexo,NEXO,1278952172,2.28,17168525.66
84,TrueUSD,TUSD,1264423136,0.9992,149357982.4
85,NEM,XEM,1158381508,0.1287,92894178.14
86,Voyager Token,VGX,1103572055,3.96,18051380.51
87,Mina,MINA,1100530013,3.52,51199861.25
88,Immutable X,IMX,1032271574,5.49,69601875.2
89,IoTeX,IOTX,1083419609,0.1136,66184302.19
90,1inch Network,1INCH,1054786054,2.64,219960691.7
91,Qtum,QTUM,1025922161,10.37,382647977.1
92,XDC Network,XDC,982357551.7,0.07983,5493018.49
93,Pax Dollar,USDP,944385463.4,0.9987,9332890.65
94,Ravencoin,RVN,914522199.1,0.08933,57622708.36
95,Celsius,CEL,888417103.5,3.72,7864751.96
96,Livepeer,LPT,877123376,41.44,87924404.14
97,Audius,AUDIO,881801232.3,1.73,31140455.05
98,Ankr,ANKR,878473241.4,0.1076,130819739.6
99,yearn.finance,YFI,872671200.2,23818.93,183233219.8
100,Revain,REV,855747773.5,0.01006,1871771.61